BP;latitud_obs;longitud_obs;direccion;comuna;lat;lon
650;-33.391.722;-70.594.671;AV AMERICO VESPUCIO NORTE 2776;VITACURA;-0,333917;-0,705947
665;-33.498.619;-70.525.106;CAMINO EL PASO 4194;PEÑALOLEN;-0,334986;-0,705251
754;-33.443.652;-7.055.802;AVENIDA ECHEÑIQUE 7100;LA REINA;-0,334437;-0,705580
777;-3.326.015;-70.761.223;CONDOMINIO SANTA ROSA DE LAMPA PARCELA 23;LAMPA;-0,332602;-0,707612
786;-33.667.592;-70.845.389;CAMINO LONQUEN SUR 5247-COD.STA MONICA PARCELA 13;TALAGANTE;-0,336676;-0,708454
874;-33.703.314;-70.879.927;CAMINO CARAMPANGUE 1221;ISLA DE MAIPO;-0,337033;-0,708799
876;-33.230.126;-70.718.801;CAMINO SANTA ESTER PARCELA 15-Ñ;COLINA;-0,332301;-0,707188
881;-3.373.105;-7.094.593;CAMINO LOS AGUILUCHOS PARCELA D;ISLA DE MAIPO;-0,337311;-0,709459
882;-33.405.003;-70.564.536;ESTOCOLMO 340;LAS CONDES;-0,334050;-0,705645
898;-33.286.864;-70.688.293;CONDOMINIO CHICUREO 2;COLINA;-0,332869;-0,706883
911;-33.376.654;-70.544.028;AV SAN JOSEMARIA ESCRIVA DE BALAGUER 9547;VITACURA;-0,333767;-0,705440
917;-333.554;-70.546.684;AGUAS CLARAS 350;LO BARNECHEA;-3,335540;-0,705467
959;-33.353.025;-70.545.831;VALLE DEL MONASTERIO 2332;LO BARNECHEA;-0,333530;-0,705458
977;-33.387.795;-7.114.823;RUTA G864F 0;CURACAVI;-0,333878;-0,711482
1063;-33.402.854;-7.051.358;GENERAL BLANCHE 12049;LAS CONDES;-0,334029;-0,705136
1086;-3.337.549;-70.548.363;AV MONSEÑOR ESCRIVA DE BALAGUER 9411;VITACURA;-0,333755;-0,705484
1093;-33.403.448;-70.568.941;AV MANQUEHUE NORTE 555;LAS CONDES;-0,334034;-0,705689
1101;-33.330.116;-70.510.243;CAMINO LA CUMBRE 4122;LO BARNECHEA;-0,333301;-0,705102
